song_id,url,defunct,misc
11 28 2c 44 bf 5a 37 f3,https://soundcloud.com/kimiidesu/henshin,,
11 28 2c 44 bf 5a 37 f3,https://www.youtube.com/watch?v=H0h2hdEBlNY,,
94 7f c5 76 66 02 29 c1,https://soundcloud.com/synthikate/karamel-camellia,,Under label 'Synthikate'
94 7f c5 76 66 02 29 c1,https://www.youtube.com/watch?v=MfgT22pwniM,,
28 0f ec 8f 63 49 5e c4,https://soundcloud.com/tecchii/jump,,
28 0f ec 8f 63 49 5e c4,https://www.youtube.com/watch?v=TZ8yQP4cTsU,,
43 51 5e 4d 9d d9 38 3e,https://soundcloud.com/superalpha/night-parade,,
43 51 5e 4d 9d d9 38 3e,https://www.youtube.com/watch?v=biNXZIuHahI,,
89 32 8f 0f 1f 93 bd 65,https://soundcloud.com/arforest/tomori,,
89 32 8f 0f 1f 93 bd 65,https://www.youtube.com/watch?v=MfgT22pwniM,,
6c 87 7b 35 50 65 f9 9a,https://soundcloud.com/realdreamhackers/happy-kuru-kuru-dream-hackers-remix,yes,
6c 87 7b 35 50 65 f9 9a,https://www.youtube.com/watch?v=QbK6KkGQs6s,,
6c 1f 61 9b 64 19 fc db,https://soundcloud.com/pleegmusic/pleeg-sweet,,
6c 1f 61 9b 64 19 fc db,https://www.youtube.com/watch?v=CAXbvRWv66s,,
7a c4 5f 29 79 b5 4f 0f,https://soundcloud.com/hyp3rsleep/mocha-buy-free-download,,
7a c4 5f 29 79 b5 4f 0f,https://www.youtube.com/watch?v=dJDtxOhr_So,,
63 d0 cf 57 1b 3e ee 20,https://soundcloud.com/ironami/ironami-milkoi-cocoro,,
63 d0 cf 57 1b 3e ee 20,https://www.youtube.com/watch?v=UT3gqD51r3c,,
3e a0 48 f3 d0 6d bc ff,https://soundcloud.com/kagimusic/lovelock,yes,
3e a0 48 f3 d0 6d bc ff,https://www.youtube.com/watch?v=dPmE3_unq5Q,,
1c 3d b9 96 14 06 87 d8,https://soundcloud.com/i-am-aika/aika-x-trifect-light-the-way,,
1c 3d b9 96 14 06 87 d8,https://www.youtube.com/watch?v=GxK4LpMLsAE,,
de 01 78 57 17 11 f5 58,https://soundcloud.com/kodomoimusic/kodomoi-new-day,,
de 01 78 57 17 11 f5 58,https://www.youtube.com/watch?v=ElI-axLJ0O4,,
3e 5a a6 1b b7 a8 28 91,https://www.youtube.com/watch?v=Gjy2nQHF3K4,,
9a 7c 89 ac e9 26 48 52,https://soundcloud.com/hyperpopcollective/milk-cookie-cosmicosmo,yes,Under label 'HyperPop Collective'
9a 7c 89 ac e9 26 48 52,https://www.youtube.com/watch?v=yaODSTfK-DE,,
8f 3b 43 1a 2a bf 7d 62,https://soundcloud.com/kocyamaru/favorite-place,,
8f 3b 43 1a 2a bf 7d 62,https://www.youtube.com/watch?v=HRcH1SQnDAQ,,
c8 39 e8 02 a9 7f eb ca,https://soundcloud.com/nana172025/nana-keep-it-kawaii,,
c8 39 e8 02 a9 7f eb ca,https://www.youtube.com/watch?v=RqPqHy8DT4s,,
1c 05 d7 e7 c5 ed 54 df,https://soundcloud.com/dextrustofficial/teatime,,
1c 05 d7 e7 c5 ed 54 df,https://www.youtube.com/watch?v=yV2nfetWEHQ,,
7f d7 40 69 03 00 f1 89,https://soundcloud.com/pika5onic/myself-original-mix,,
7f d7 40 69 03 00 f1 89,https://www.youtube.com/watch?v=Q1wqaNFDII0,,
